Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI,CSC preds,RUNLTS preds,CSC coverage,CSC accuracy,RUNLTS coverage,RUNLTS accuracy,UNIQUE PCS,FIRST TIME accuracy,CSC FIRST TIME coverage,CSC FIRST TIME accuracy,RUNLTS FIRST TIME coverage,RUNLTS FIRST TIME accuracy
fp,fp_11_trace,297.7953281402588,Pass,,40000016,7957269,5.0269,3526510,59588,0.4432,0.0075,1.6897%,1.4897,1069927,17.9554,26.7482,20000016,3867247,5.1716,1776440,30154,0.4594,0.0078,1.6974%,1.5077,537551,17.8269,26.8775,0,3526510,0%,-nan%,100%,98.31%,389,48.84%,0%,-nan%,100%,48.84%
fp,fp_6_trace,63.58891201019287,Pass,,40000016,7872030,5.0813,7034423,141616,0.8936,0.0180,2.0132%,3.5404,3612536,25.5094,90.3134,20000016,3864534,5.1753,3515104,70834,0.9096,0.0183,2.0151%,3.5417,1772413,25.0221,88.6206,0,7034423,0%,-nan%,100%,97.99%,304,57.24%,0%,-nan%,100%,57.24%
fp,fp_9_trace,143.53112411499023,Pass,,40000016,18689866,2.1402,5012816,243323,0.2682,0.0130,4.8540%,6.0831,14056495,57.7689,351.4122,20000016,9038766,2.2127,2500178,130072,0.2766,0.0144,5.2025%,6.5036,6803971,52.3093,340.1983,0,5012816,0%,-nan%,100%,95.15%,625,63.04%,0%,-nan%,100%,63.04%
fp,fp_1_trace,42.69381523132324,Pass,,30000052,31635285,0.9483,5950800,493553,0.1881,0.0156,8.2939%,16.4517,27963413,56.6574,932.1122,15000052,15841235,0.9469,2965791,248217,0.1872,0.0157,8.3693%,16.5477,14017146,56.4713,934.4732,0,5950800,0%,-nan%,100%,91.7%,64,54.69%,0%,-nan%,100%,54.69%
fp,fp_10_trace,270.7881956100464,Pass,,40000016,7493757,5.3378,3492402,122499,0.4660,0.0163,3.5076%,3.0625,2499826,20.4069,62.4956,20000016,3684940,5.4275,1748758,59764,0.4746,0.0162,3.4175%,2.9882,1215195,20.3332,60.7597,0,3492402,0%,-nan%,100%,96.49%,296,52.36%,0%,-nan%,100%,52.36%
fp,fp_8_trace,211.10272789001465,Pass,,40000016,13587213,2.9439,2322129,340089,0.1709,0.0250,14.6456%,8.5022,7574214,22.2713,189.3553,20000016,7634784,2.6196,1347173,239097,0.1765,0.0313,17.7481%,11.9548,5260461,22.0014,263.0228,0,2322129,0%,-nan%,100%,85.35%,336,63.39%,0%,-nan%,100%,63.39%
fp,fp_7_trace,159.0718936920166,Pass,,40000016,10900262,3.6696,4716883,135987,0.4327,0.0125,2.8830%,3.3997,5057364,37.1901,126.4340,20000016,5375790,3.7204,2394520,67883,0.4454,0.0126,2.8349%,3.3941,2532781,37.3110,126.6389,0,4716883,0%,-nan%,100%,97.12%,611,57.45%,0%,-nan%,100%,57.45%
fp,fp_0_trace,64.73471260070801,Pass,,30000052,6848326,4.3806,1619852,101743,0.2365,0.0149,6.2810%,3.3914,3161399,31.0724,105.3798,15000052,3448746,4.3494,807780,52102,0.2342,0.0151,6.4500%,3.4735,1616778,31.0310,107.7848,0,1619852,0%,-nan%,100%,93.72%,7,85.71%,0%,-nan%,100%,85.71%
fp,fp_3_trace,223.02585411071777,Pass,,30000052,13461414,2.2286,1539997,83074,0.1144,0.0062,5.3944%,2.7691,8141836,98.0070,271.3941,15000052,6740128,2.2255,770204,42443,0.1143,0.0063,5.5106%,2.8295,4126486,97.2242,275.0981,0,1539997,0%,-nan%,100%,94.6%,112,67.86%,0%,-nan%,100%,67.86%
fp,fp_13_trace,84.63656806945801,Pass,,40000016,17425493,2.2955,6454282,624720,0.3704,0.0359,9.6792%,15.6180,13153901,21.0557,328.8474,20000016,8581729,2.3305,3233671,312517,0.3768,0.0364,9.6645%,15.6258,6480125,20.7353,324.0060,0,6454282,0%,-nan%,100%,90.32%,147,65.99%,0%,-nan%,100%,65.99%
fp,fp_4_trace,106.30326175689697,Pass,,30000052,6762679,4.4361,2573337,28851,0.3805,0.0043,1.1212%,0.9617,1392009,48.2482,46.4002,15000052,2651567,5.6571,1285217,13288,0.4847,0.0050,1.0339%,0.8859,408096,30.7116,27.2063,0,2573337,0%,-nan%,100%,98.88%,767,61.54%,0%,-nan%,100%,61.54%
fp,fp_2_trace,113.98153591156006,Pass,,30000052,6478315,4.6308,2471756,91287,0.3815,0.0141,3.6932%,3.0429,2989283,32.7460,99.6426,15000052,3195460,4.6942,1232306,46100,0.3856,0.0144,3.7410%,3.0733,1497199,32.4772,99.8129,0,2471756,0%,-nan%,100%,96.31%,127,49.61%,0%,-nan%,100%,49.61%
